City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,Yushu,44.8,126.5333,69.4,17,1,13.82,CN,2021-04-19 05:25:04
142,Nuuk,64.1835,-51.7216,24.8,58,90,17.27,GL,2021-04-19 05:28:12
143,Tasiilaq,65.6145,-37.6368,14.0,62,0,4.61,GL,2021-04-19 05:28:13
144,Tefe,-3.3542,-64.7114,72.99,99,100,2.37,BR,2021-04-19 05:28:13
145,Ancud,-41.8697,-73.8203,57.2,100,90,17.27,CL,2021-04-19 05:28:13
146,Ritchie,-29.038,24.6028,44.6,87,0,3.44,ZA,2021-04-19 05:28:14
147,Aklavik,68.2191,-135.0107,48.2,48,68,4.61,CA,2021-04-19 05:28:14
148,Shimanovsk,52.0,127.7,42.28,25,36,21.07,RU,2021-04-19 05:28:15
149,Taft,31.7471,54.2088,71.6,28,75,4.61,IR,2021-04-19 05:28:15
150,Puerto Cabezas,14.0351,-83.3888,78.76,88,88,7.49,NI,2021-04-19 05:28:15
151,Lorengau,-2.0226,147.2712,84.4,69,98,9.46,PG,2021-04-19 05:28:16
152,Garmsar,35.2182,52.3409,76.84,18,44,3.27,IR,2021-04-19 05:28:16
153,Tuy Hoa,13.0833,109.3,87.06,58,96,9.51,VN,2021-04-19 05:28:17
154,Maracaju,-21.6144,-55.1683,71.44,53,54,3.74,BR,2021-04-19 05:28:17
155,Lufilufi,-13.8745,-171.5986,82.4,83,75,6.91,WS,2021-04-19 05:28:17
156,Saint George,37.1041,-113.5841,66.2,12,1,14.97,US,2021-04-19 05:28:18
157,Zelenoborskiy,66.845,32.3622,37.0,100,52,3.74,RU,2021-04-19 05:28:18
158,Charters Towers,-20.1,146.2667,82.06,49,52,14.14,AU,2021-04-19 05:28:19
159,Avarua,-21.2078,-159.775,80.6,78,75,12.66,CK,2021-04-19 05:28:19
160,Roald,62.5833,6.1333,43.0,81,0,8.05,NO,2021-04-19 05:28:19
161,Paamiut,61.994,-49.6678,29.89,91,100,20.69,GL,2021-04-19 05:28:20
162,Luderitz,-26.6481,15.1594,72.88,48,7,4.92,NA,2021-04-19 05:28:20
163,Cedar City,37.6775,-113.0619,46.99,24,1,4.61,US,2021-04-19 05:28:21
164,Schio,45.7124,11.3574,48.0,79,99,1.01,IT,2021-04-19 05:28:21
165,Thompson,55.7435,-97.8558,21.2,63,1,5.75,CA,2021-04-19 05:28:21
166,Fairbanks,64.8378,-147.7164,51.8,37,1,3.49,US,2021-04-19 05:28:22
167,Samagaltay,50.6022,95.0047,53.78,19,66,14.43,RU,2021-04-19 05:28:22
168,Mende,44.6667,3.5,30.02,90,75,7.11,FR,2021-04-19 05:28:23
169,Pangnirtung,66.1451,-65.7125,4.14,81,63,7.65,CA,2021-04-19 05:28:23
170,Alofi,-19.0595,-169.9187,78.8,69,20,4.61,NU,2021-04-19 05:28:24
171,Valparaiso,-33.0393,-71.6273,55.0,78,34,3.6,CL,2021-04-19 05:23:32
172,Pechora,65.1472,57.2244,24.62,71,74,5.37,RU,2021-04-19 05:28:24
173,Tamuin,21.9833,-98.75,68.83,44,100,6.04,MX,2021-04-19 05:28:25
174,Dunedin,-45.8742,170.5036,64.0,58,96,3.74,NZ,2021-04-19 05:28:25
175,Biltine,14.5333,20.9167,80.82,8,95,9.89,TD,2021-04-19 05:26:06
176,Baykit,61.67,96.37,30.54,91,100,8.9,RU,2021-04-19 05:28:26
177,Santa Rosa,14.3122,121.1114,93.0,49,75,11.5,PH,2021-04-19 05:28:26
178,Vao,-22.6667,167.4833,77.58,81,97,9.89,NC,2021-04-19 05:28:26
179,Cotonou,6.3654,2.4183,73.4,100,20,2.3,BJ,2021-04-19 05:28:27
180,Alice Springs,-23.7,133.8833,73.99,15,0,8.05,AU,2021-04-19 05:28:27
